"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Kilchoman Sherry Single Cask","8.62","0.62","17","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Fine Oak","8.62","0.27","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Swiss Highland Classic Single Malt","8.62","0.39","4","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Tamdhu Batch Strength (all batches)","8.62","0.6","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Timorous Beastie 12yo Cask Strength","8.62","0.09","3","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc 2000","8.61","0.19","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Port Cask Finish","8.61","0.35","18","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 7)","8.61","0.51","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 18yo","8.61","0.34","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Magnus (2017)","8.61","0.18","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Valkyrie","8.61","0.21","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
