name,rating,type
Parker's Heritage Wheat Whiskey 13 Year,9.4,Single Malt
Westland Peat Week Single Cask Release #279,9.4,Calvados
Glen Spey 21 Year,9.4,Herbal/Spice Liqueurs
GlenDronach Parliament 21 Year,9.4,Peated Single Malt
Laphroaig 10 Year Cask Strength,9.4,Other Whiskey
Suntory Royal,9.4,Fruit Liqueurs
Hakushu Heavily Peated,9.4,Canadian
J.P. Wiser's Legacy Canadian Whisky,9.4,Rye
J.P. Wiser's Legacy Canadian Whisky,9.4,Bourbon
Talisker 18 Year,9.4,Peated Single Malt
Port Charlotte PC7 Sin An Doigh Ileach,9.4,Bourbon
Compass Box Spice Tree,9.4,Bourbon
Buchanan's Red Seal,9.4,Peated Single Malt
Johnnie Walker Platinum,9.4,Canadian
Laphroaig 30 Year The Ian Hunter Story Book 1,9.3,Bourbon
Stagg Jr. Barrel Proof Bourbon Batch 13,9.3,Peated Single Malt
Pike Creek 21 Year Oloroso Cask Finish,9.3,Bourbon
Caravedo Pisco Acholado,9.3,Single Malt
Angel's Envy Bourbon Finished in Port Wine Barrels Cask Strength (2019 Edition),9.3,Flavored Gin
Angel's Envy Bourbon Finished in Port Wine Barrels Cask Strength (2019 Edition),9.3,Tequila Extra Añejo
Canadian Club Chronicles 42 Year ,9.3,Peated Single Malt
Aberfeldy Exceptional Cask Series 18 Year Double Cask,9.3,Canadian
Four Roses Limited Edition Small Batch Bourbon (2019),9.3,Single Malt
Bruichladdich Bere Barley 2010,9.3,Unflavored Vodka
Don Julio Reposado Double Cask Lagavulin Finish,9.3,Single Malt
Clynelish 20 Year 200th Anniversary,9.3,American Single Malt
Bowmore 15 Year Fèis Ìle 2019,9.3,Rye
Caol Ila 22 Year Fèis Ìle 2019,9.3,Blended Malt
Crop Organic Cucumber Vodka,9.3,Single Malt
Forager's Keep 26 Year,9.3,Bourbon
Forager's Keep 26 Year,9.3,Canadian
Wild Turkey Master's Keep Cornerstone Rye,9.3,Peated Single Malt
Bulleit 12 Year Rye,9.3,Single Malt
Elijah Craig Barrel Proof Bourbon Batch A119,9.3,Bourbon
Port Charlotte MRC:01 2010,9.3,Bourbon
Mr Black Cold Brew Coffee Liqueur,9.3,Mezcal Joven
Booker's 30th Anniversary Bourbon,9.3,Single Malt
Port Askaig 33 Year,9.3,Bourbon
Springbank 9 Year Local Barley,9.3,American Brandy
