name,rating
Bowmore 1993 Perfect Dram,8.8
Bowmore 1995 Craftmen's Collection,9.1
Bowmore 1995 Murray McDavid,8.5
Bowmore 1995 Single Malts of Scotland,8.8
Bowmore 1995 Wanted - The Loving Brothers,7.5
Bowmore 1996 Faultline for K&L,8.5
Bowmore 1996 SMWS 3.294,8.8
Bowmore 1997 Signatory,8.1
Bowmore 1997 Whisky-Fassle (Duckmore),8.8
Bowmore 1998 Chenin Blanc Finish,8.5
Bowmore 1998 Murray McDavid (Quarts de Chaume Chenin Finish),9.1
Bowmore 1999 Signatory 13 yo,8.5
Bowmore 2000 BBR (Whisky Live Leiden),7.8
Bowmore 2000 Cadenhead's,8.8
Bowmore 2000 Malts of Scotland,8.5
Bowmore 2000 Old Malt Cask (La Maison Du Whisky),8.1
Bowmore 2001 Hepburn's Choice,8.5
Bowmore 2001 Signatory (K&L),8.5
Bowmore 2002 Exclusive Casks,8.5
Bowmore 2002 Exclusive Malts (for K&L),8.5
Bowmore 2002 The Last Red Indian Chief,8.5
Bowmore 2002 The Ultimate,8.5
Bowmore 21 (1972),9.4
Bowmore 21 (1972) Single Cask,9.1
Bowmore 21 (1988) Port Matured,6.5
Bowmore 21 (1989) Silver Seal,8.8
Bowmore 21 (circa 1996),6.2
Bowmore 21 (circa 2001),7.8
Bowmore 22 (Ceramic),8.8
Bowmore 25 (c. 2000 ceramic),8.5
Bowmore 25 (Previous Release),9.1
Bowmore 3.169 SMWS,8.5
"Bowmore 30 ""Seadragon""",8.8
Bowmore 8 (Murray McDavid Chenin Finish),8.8
Bowmore Battlehill,7.8
Bowmore Bicentenary,9.4
Bowmore Black 1964 2nd Edition,9.1
Bowmore Claret,8.1
Bowmore Darkest,7.2
Bowmore Darkest 15,8.1
Bowmore Devil's Casks,8.8
"Bowmore Dorus Mor, Batch 1",8.8
Bowmore Dusk,7.5
Bowmore Laimrig,8.8
Bowmore Legend,7.8
Bowmore Maltmens Selection,8.8
Bowmore SMWS 3.169 ,8.5
Bowmore Springtide,8.5
Bowmore Tempest Batch 3,7.8
Bowmore The Devil's Casks II,8.5
Bowmore Voyage,8.8
Bowmore Wilson & Morgan 16,8.8
Braes of Glenlivet 1974 Signatory,8.8
Braes of Glenlivet 1979 Signatory,8.5
Braes of Glenlivet 1979 Signatory,8.8
Braes of Glenlivet 1987 Cadenhead,8.1
Braes of Glenlivet 1987 Cadenhead's,7.2
Braes of Glenlivet 1989 Duncan Taylor Cask 1070,8.1
Braes of Glenlivet SMWS 113.14,8.8
Braeval 18 Year (The Exclusive Malts),8.8
Breaker Bourbon,8.1
Breaking & Entering Bourbon,7.8
Brechin 1976 Old Malt Cask,6.5
Breckenridge Bourbon,8.5
Brenne,7.8
Brenne 10,8.1
"Brora ""Brorageddon"" 1972 Old Malt Cask for PLOWED",9.4
Brora 1972 Connoisseurs Choice,8.5
Brora 1972 Spirit of Scotland,8.8
Brora 1975 Rare Malts,9.1
Brora 1977 Rare Malts,9.1
Brora 1978 SMWS 61.6,9.1
Brora 1981 Chieftain's (K&L),9.1
Brora 1981 Duncan Taylor (1423),8.8
Brora 1981 Duncan Taylor (1424),8.8
Brora 1981 Old Malt Cask,9.1
Brora 1981 Old Malt Cask 21 yo,8.8
Brora 1981 Signatory,8.8
Brora 1981 Signatory (Cask 1517),8.5
Brora 1981 Signatory (Cask 1520),9.1
Brora 1982 Chieftain's Choice,8.5
Brora 1982 Jewels of Scotland,8.8
Brora 1982 Old Malt Cask,9.1
Brora 1982 Premier Barrel,8.5
Brora 1983 Silent Stills,8.8
Brora 25 (Bottled 2008),9.1
Brora 30 (2007 Edition),9.1
Brora 30 (3rd Release),8.8
Brora 30 (Bottled 2009),9.1
Brora 35 (2013),9.1
Brora 35 (2014),9.1
Brora 37 (2015 Release),9.1
"Bruichladdich ""Queen of the Moorlands""",8.1
Bruichladdich 10,7.8
Bruichladdich 10 (Late 1990's),7.8
Bruichladdich 12,8.1
Bruichladdich 14 Brunello French Oak ,8.1
Bruichladdich 15 First Edition,8.8
Bruichladdich 15 Second Edition,7.8
Bruichladdich 18 Second Edition,8.8
Bruichladdich 1966 Hart Brothers,8.8
Bruichladdich 1969 Duncan Taylor,8.8
Bruichladdich 1986 Park Avenue,8.8
Bruichladdich 1990 Gordon & MacPhail Cask Strength,8.1
Bruichladdich 1990 Scott's Selection,8.1
Bruichladdich 1990 Signatory Vintage (for K&L),8.5
Bruichladdich 1991 Connoisseurs Choice,7.8
Bruichladdich 1991 Queen of the Moorlands,8.1
Bruichladdich 1998 Manzanilla Cask,8.1
Bruichladdich 2001 Quarts de Chaume Chenin Blanc K&L,7.0
Bruichladdich 2002 The Perfect Dram,8.5
Bruichladdich 2003 K&L ,8.5
Bruichladdich 2006 Single Cask Nation,8.1
Bruichladdich 27 Stillman's Dram,8.5
Bruichladdich 3D (2nd Edition),8.8
Bruichladdich 3D3 (3rd Edition),8.5
Bruichladdich Bere Barely 2006,8.5
Bruichladdich Black Art 1989 #3.1,8.5
Bruichladdich Black Art 1989 First Edition,8.5
Bruichladdich Black Arts 1989 Edition 2.2,7.2
Bruichladdich Blacker Still,9.4
Bruichladdich BR1 Elements of Islay,8.5
Bruichladdich Carmel Kosher Cask 1989,7.5
Bruichladdich Cuvee 382,8.5
Bruichladdich Cuvee 407,7.8
Bruichladdich Golder Still,8.5
Bruichladdich Infinity,8.5
Bruichladdich Infinity 2nd Edition,8.5
Bruichladdich Infinity 3rd Edition,8.5
Bruichladdich Islay Barley 2009,8.1
Bruichladdich Italian Collection 14yr Sassicaia,8.5
Bruichladdich Legacy 3,8.1
Bruichladdich Legacy 5,8.8
Bruichladdich Links Carnoustie,8.5
Bruichladdich Links K Club,8.5
Bruichladdich Links Torrey Pines,8.1
Bruichladdich Links Valhalla,8.8
Bruichladdich Organic 2003,8.5
Bruichladdich Peat,8.1
Bruichladdich Redder Still,8.5
Bruichladdich Rocks,8.1
Bruichladdich The Resurrection Dram,8.5
Bruichladdich Waves,7.5
Bruichladdich X4 + 3,7.8
Bruichladdich XVII,8.8
Bruichladdich Yellow Submarine,7.8
Buffalo Trace,8.1
Buffalo Trace Experimental 1991 Rediscovered Barrel,8.5
Buffalo Trace Experimental 1993 Rediscovered Barrel,7.8
Buffalo Trace Experimental Collection 1993 Double Barreled,9.1
Buffalo Trace Experimental Collection 1995 American Oak Chips Seasoned,8.5
Buffalo Trace Experimental Collection 1995 French Oak Barrel Aged,8.5
Buffalo Trace Experimental Collection 1997 Double Barreled,8.8
Buffalo Trace Experimental Oat Bourbon,7.8
Buffalo Trace Experimental Rice Bourbon,8.1
Buffalo Trace Experimental Rye 'n Barrel (for The Party Source),9.1
Buffalo Trace Experimental Wheat on Rye (for The Party Source),8.8
Buffalo Trace Single Barrel (for The Wine Cellar),8.1
Buffalo Trace Single Oak Barrel 10,8.8
Buffalo Trace Single Oak Barrel 100,7.8
Buffalo Trace Single Oak Barrel 104,8.5
Buffalo Trace Single Oak Barrel 106,8.5
Buffalo Trace Single Oak Barrel 110,8.1
Buffalo Trace Single Oak Barrel 120,8.5
Buffalo Trace Single Oak Barrel 125,8.1
Buffalo Trace Single Oak Barrel 127,8.1
